Month,Passengers
January 1998,395122
February 1998,402200
March 1998,468632
April 1998,427621
May 1998,419118
June 1998,450017
July 1998,475654
August 1998,462363
September 1998,372750
October 1998,387945
November 1998,383187
December 1998,426867
January 1999,364419
February 1999,388302
March 1999,451644
April 1999,412444
May 1999,404281
June 1999,433277
July 1999,465844
August 1999,437662
September 1999,386153
October 1999,392073
November 1999,380638
December 1999,396400
January 2000,346066
February 2000,389029
March 2000,438215
April 2000,388602
May 2000,393481
June 2000,431739
July 2000,417522
August 2000,404170
September 2000,349091
October 2000,355492
November 2000,339253
December 2000,358352
January 2001,317289
February 2001,336721
March 2001,392752
April 2001,351968
May 2001,353337
June 2001,372389
July 2001,393241
August 2001,397011
September 2001,225350
October 2001,275186
November 2001,270150
December 2001,292745
January 2002,272400
February 2002,282424
March 2002,322287
April 2002,294804
May 2002,304276
June 2002,317958
July 2002,346513
August 2002,351158
September 2002,282808
October 2002,343495
November 2002,328042
December 2002,373192
January 2003,342175
February 2003,338974
March 2003,396783
April 2003,356280
May 2003,370092
June 2003,396880
July 2003,435195
August 2003,418590
September 2003,350029
October 2003,379659
November 2003,415852
December 2003,401359
January 2004,356479
February 2004,385674
March 2004,446405
April 2004,416779
May 2004,410366
June 2004,457455
July 2004,473283
August 2004,461020
September 2004,390669
October 2004,421446
November 2004,395157
December 2004,434687
